den_cd     %den_logr_tp%den_logr_ds                                       %den_logr_num%den_logr_bairro                         %den_logr_subbairro                      %den_logr_cep%den_logr_mun                            %den_loc_ref                                                                                                                                                                                                                                                     %den_dt_rec         %tpa_ds                                  
-----------%-----------%--------------------------------------------------%------------%----------------------------------------%----------------------------------------%------------%----------------------------------------%----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------%-------------------%----------------------------------------
SA                                                                                                                                                                                          %2002-05-01 19:52:00%FAVORECIMENTO À PROSTITUIÇÃO/LENOCÍNIO  
        193%R          %HENRIQUE MORIZE                                   %150         %GRAJAU                                  %                                        %    20561260%RIO DE JANEIRO                          %                                                                                                                                                                                                                                                                %2002-05-01 20:12:00%TRÁFICO DE DROGAS                       
        202%R          %DAMIANE DA CUNHA                                  %            %COELHO                                  %                                        %    24745280%SAO GONCALO                             %CASA DE COR VERDE, COM VARANDA E JANELAS DE ALUMINIO.                                                                                                                                                                                                           %2002-05-01 20:34:00%TRÁFICO DE DROGAS                       
        204%R          %ARARUAMA                                          %            %V TELES                                 %                                        %    25555820%SAO JOAO DE MERITI                      %DEPOIS DO MERCADO COQUITO, PROXIMO A UM CANAL, MERCADO RESPLENDOR E CENTRO COMUNITARIO DE JARDIM PARAISO. INFORMA QUE OS HOMENS FICAM ATRAS DE UM TRAILLER AZUL.                                                                                                %2002-05-01 20:37:00%TRÁFICO DE DROGAS                       
        218%N.E.       %MORRO DO BOREL                                    %            %Não Encontrado                          %Não Encontrado                          %           0%RIO DE JANEIRO                          %MORRO DO BOREL E MORRO DA CASA BRANCA.                                                                                                                                                                                                                          %2002-05-01 22:38:00%TRÁFICO DE DROGAS                       
        229%AV         %BRASIL - DE 49389/49800 A 51406/52001             %            %CPO GRANDE                              %                                        %    23065480%RIO DE JANEIRO                          %NA ALTURA DO VIADUTO DOS CABRITOS E DA CHURRASCARIA RIO GRANDE.                                                                                                                                                                                                 %2002-05-02 07:17:00%POSSE  ILÍCITA DE  ARMAS FOGO           
          5%LD         %TABAJARAS, DOS - ATE 637/750                      %            %COPACABANA                              %                                        %    22031110%RIO DE JANEIRO                          %Ao lado da  Rua Siqueira Campos                                                                                                                                                                                                                                 %2002-05-01 03:51:00%TRÁFICO DE DROGAS                       
          6%R          %SOLDADO ANTONIO DA SILVEIRA                       %            %CPO GRANDE                              %                                        %    23017454%RIO DE JANEIRO                          %PROXIMO AO NUMERO 124 (CENTO E VINTE E QUATRO)                                                                                                                                                                                                                  %2002-05-01 03:59:00%BADERNA                                 
          7%R          %LARANJEIRAS, DAS - ATE 146/147                    %            %LARANJEIRAS                             %                                        %    22240000%RIO DE JANEIRO                          %AO LONGO DE TODA A RUA.                                                                                                                                                                                                                                         %2002-05-01 04:37:00%VANDALISMO                              
         25%R          %FERNANDES LIMA                                    %            %ANCHIETA                                %                                        %    21645220%RIO DE JANEIRO                          %PRÓXIMO A RUA MANITOBA                                                                                                                                                                                                                                          %2002-05-01 08:14:00%BALÕES                                  
         41%R          %MARECHAL MARCIANO - DE 1937/1992 AO FIM           %            %P MIGUEL                                %BANGU                                   %    21870310%RIO DE JANEIRO                          %AO LADO DO POSTO DE SAÚDE PAM, ESQUINA COM A RUA ALFREDO COSTA                                                                                                                                                                                                  %2002-05-01 09:47:00%TRÁFICO DE DROGAS                       
         41%R          %MARECHAL MARCIANO - DE 1937/1992 AO FIM           %            %P MIGUEL                                %BANGU                                   %    21870310%RIO DE JANEIRO                          %AO LADO DO POSTO DE SAÚDE PAM, ESQUINA COM A RUA ALFREDO COSTA                                                                                                                                                                                                  %2002-05-01 09:47:00%FAVORECIMENTO À PROSTITUIÇÃO/LENOCÍNIO  
         55%R          %PARAOPEBA                                         %            %JD GRAMACHO                             %                                        %    25051290%DUQUE DE CAXIAS                         %                                                                                                                                                                                                                                                                %2002-05-01 10:31:00%TRÁFICO DE DROGAS                       
         56%R          %FERNANDES DE QUEIROS                              %            %JD METROPOLE                            %                                        %    25571210%SAO JOAO DE MERITI                      %                                                                                                                                                                                                                                                                %2002-05-01 10:22:00%TRÁFICO DE DROGAS                       
         72%R          %CESAR MUZIO                                       %            %V CARVALHO                              %                                        %    21371020%RIO DE JANEIRO                          %FICA EM FRENTE A PRAÇCA COTEGI.                                                                                                                                                                                                                                 %2002-05-01 12:03:00%ROUBO DE VEÍCULOS AUTOMOTORES           
         73%EST        %VELHA DE SANTA RITA                               %            %S RITA                                  %                                        %    26051060%NOVA IGUACU                             %O BAIRRO É CONHECIDO POR MONTE CASTELO.                                                                                                                                                                                                                         %2002-05-01 12:12:00%ROUBO DE VEÍCULOS AUTOMOTORES           
         90%R          %UBATUBA - ATE 452/453                             %            %P MIGUEL                                %                                        %    21715310%RIO DE JANEIRO                          %PROXIMO A ESTAÇÃO FERROVIARIA                                                                                                                                                                                                                                   %2002-05-01 13:12:00%TRÁFICO DE DROGAS                       
         91%R          %CAICARA                                           %            %IRAJA                                   %                                        %    21361630%RIO DE JANEIRO                          %ALTURA DO NÚMERO 205, PRÓXIMO A CHOPPERIA TROPICAL.                                                                                                                                                                                                             %2002-05-01 13:23:00%TRÁFICO DE DROGAS                       
