bairro;mun;qt_den 
PRAIA GRANDE;ARRAIAL DO CABO;41;
BALEIA;ARRAIAL DO CABO;5;
PRAINHA;ARRAIAL DO CABO;29;
FIGUEIRAS;ARRAIAL DO CABO;1;
CANOEIRO;ARACUAI;1;
IRIS;SAO JOSE DO VALE DO RIO PRETO;1;
POCO FUNDO;SAO JOSE DO VALE DO RIO PRETO;2;
SANTA FE;SAO JOSE DO VALE DO RIO PRETO;2;
LOTEAMENTO DE CAMBOATA;SAO JOSE DO VALE DO RIO PRETO;1;
PETROPOLIS;SAO JOSE DO VALE DO RIO PRETO;1;
CENTRO;SAO JOSE DO VALE DO RIO PRETO;4;
PARADA MORELI;SAO JOSE DO VALE DO RIO PRETO;2;
RIO BONITO;SAO JOSE DO VALE DO RIO PRETO;2;
CENTRO;BARBACENA;1;
SETA NOVA;ITABORAI;1;
ISSAMBI;ITABORAI;1;
ALDEIA DA PRATA;ITABORAI;97;
VISC ITABORAI;ITABORAI;59;
ITAPACORA;ITABORAI;3;
CALUNGE;ITABORAI;1;
QUISSAMA;ITABORAI;38;
MORADA DAS GALAXIAS;ITABORAI;5;
VALE DAS PEDRINHAS;ITABORAI;1;
JAMELAO;ITABORAI;1;
RECANTO DE SAO JOAQUIM;ITABORAI;13;
OUTEIRO PEDRAS;ITABORAI;65;
VISCONDE DE ITABOTAI;ITABORAI;44;
JARDIM NOVO HORIZONTE;ITABORAI;3;
ROTA NOVA;ITABORAI;58;
RETA;ITABORAI;16;
AGRO BRASIL;ITABORAI;7;
SAO JOSE;ITABORAI;10;
PICO;ITABORAI;2;
RIO VARZIA;ITABORAI;2;
ENGENHO;ITABORAI;4;
MORADA DO SOL;ITABORAI;10;
JAIBARA;ITABORAI;2;
MANILLA;ITABORAI;1;
CALUZE;ITABORAI;2;
ANPLIACAO;ITABORAI;1;
GRANJA BOM RETIRO;ITABORAI;3;
VALE MARAMBAIA DO;ITABORAI;11;
AMPRIENCAO;ITABORAI;1;
PARQUE AURORA;ITABORAI;22;
GEAIBARA;ITABORAI;2;
GEBARA;ITABORAI;82;
GRANDE CABUCU;ITABORAI;30;
APOLO DOIS;ITABORAI;22;
RIO VARVEA;ITABORAI;1;
VALE DO SOL;ITABORAI;21;
BARREIRA;ITABORAI;1;
PAULO REIS;ITABORAI;1;
POLO TRES;ITABORAI;1;
ENGENHO VELHO;ITABORAI;54;
SAMBAETIBA;ITABORAI;18;
TRIBOBO;ITABORAI;1;
ITAVILE;ITABORAI;2;
BNH;ITABORAI;15;
SITIO AREAL;ITABORAI;2;
PEROBAS;ITABORAI;2;
SANTO EXPEDITO;ITABORAI;39;
AREAL;ITABORAI;119;
HELIANOPOLIS;ITABORAI;2;
CALUCHE;ITABORAI;1;
RETA VELHO;ITABORAI;1;
GEABARA;ITABORAI;1;
RETA VELHA;ITABORAI;195;
DUQUES;ITABORAI;3;
VIVENDA DAS PEDRA;ITABORAI;2;
GABRIELA DOIS;ITABORAI;4;
ELDORADO;ITABORAI;1;
RIO VAZEA;ITABORAI;2;
ITAMBI GRANDE RIO;ITABORAI;245;
TANGUA;ITABORAI;6;
TREVO RETA;ITABORAI;1;
CALUGE;ITABORAI;15;
VISCONDE DE ITAMARATI;ITABORAI;1;
SAMBAITIBA;ITABORAI;7;
JOAQUIM DE OLIVERIA;ITABORAI;1;
MANILIA;ITABORAI;1;
BARRERO;ITABORAI;2;
VIVENDA NOVA CAPI;ITABORAI;5;
SENA;ITABORAI;1;
VALE DA MARANBAIA APOLLO TRES;ITABORAI;1;
COLONIA;ITABORAI;1;
CALUNDUN;ITABORAI;27;
VENDA DAS PEDRAS;ITABORAI;246;
ITAVILLE;ITABORAI;1;
NOSSA SENHORA DE FATIMA;ITABORAI;5;
NANCILANDIA;ITABORAI;43;
VILA BRASIL;ITABORAI;172;
CALUJO;ITABORAI;1;
BACIA;ITABORAI;1;
JEBARA;ITABORAI;6;
VILA RICA;ITABORAI;3;
ITABORAI;ITABORAI;4;
VILA GABRIELA;ITABORAI;7;
QUICAMA;ITABORAI;2;
MONTE VIDIL;ITABORAI;1;
DONA LIDIA;ITABORAI;1;
QUISAMAM;ITABORAI;7;
SOSEGO;ITABORAI;1;
JOSE DO IGUA;ITABORAI;1;
NOVA ALDEIA VELHA;ITABORAI;2;
PACHECO;ITABORAI;22;
ANTEIRO DAS PEDRAS;ITABORAI;1;
LANCILANDIA;ITABORAI;2;
PLANALTO;ITABORAI;1;
RIVARSEA;ITABORAI;5;
XANGRILA;ITABORAI;2;
QUISSAMA CALUNDU;ITABORAI;1;
ALTO DO JACU;ITABORAI;3;
ESPERANCA;ITABORAI;11;
BELA VISTA;ITABORAI;24;
CHICK;ITABORAI;1;
CALLUGE;ITABORAI;1;
MANGUEIRAS;ITABORAI;1;
CABUCU;ITABORAI;82;
JARDIM ITAMBI;ITABORAI;50;
CALUGI;ITABORAI;2;
SANTO ESPEDITO;ITABORAI;3;
VALE DO LUAR;ITABORAI;6;
SAPE;ITABORAI;2;
BARREIRO;ITABORAI;13;
MANCILANDIA;ITABORAI;1;
JARDIM ESPERIAL;ITABORAI;1;
ITAGIBA;ITABORAI;1;
RIO VAZIA;ITABORAI;1;
ALTO DA BOA VISTA;ITABORAI;3;
AMPLICAO;ITABORAI;1;
CAMPO LINDO;ITABORAI;6;
PLANALTO DA MARAMBAIA;ITABORAI;5;
MARAMBAIA;ITABORAI;359;
BONFIM;ITABORAI;6;
CALUJE;ITABORAI;2;
CONJ DA RETA;ITABORAI;1;
SAO PEDRO;ITABORAI;11;
JOBARA;ITABORAI;3;
CALIGO;ITABORAI;1;
NELSILANDIA;ITABORAI;1;
JARDIM DAS ACACIAS;ITABORAI;3;
RIACHAO;ITABORAI;1;
SABAITIBA;ITABORAI;2;
CATICO;ITABORAI;1;
RIO VARZEA;ITABORAI;156;
TRES PONTES;ITABORAI;11;
MONJOLOS;ITABORAI;1;
MANILHA;ITABORAI;434;
PORTO DAS CAIXAS;ITABORAI;92;
CIDADE GEBARA;ITABORAI;1;
ALTO DO SAPE;ITABORAI;1;
JOAQUIM IMPERIAL;ITABORAI;54;
CURUZU;ITABORAI;2;
RETIRO;ITABORAI;31;
TERRA NOBRE;ITABORAI;2;
VILA ESPERANCA;ITABORAI;18;
APREENSAO;ITABORAI;2;
APOLLO TRES;ITABORAI;9;
QUISSAMAN;ITABORAI;1;
CENTRO;ITABORAI;187;
VELHA;ITABORAI;3;
AMPLICACAO;ITABORAI;1;
PACHECOS;ITABORAI;1;
VISCONDE DE ITABORAI;ITABORAI;25;
RIBALTA;ITABORAI;1;
SAO JOAQUIM;ITABORAI;59;
JOAO CAETANO;ITABORAI;23;
JARDIM BOM RETIRO;ITABORAI;4;
CABUIS;ITABORAI;2;
OUTEIRO DAS PEDRAS;ITABORAI;40;
COLONIA TAVARES DE MACEDO;ITABORAI;1;
JARDIM PROGRESSO;ITABORAI;1;
VISCONDE DE ITABOARAI;ITABORAI;1;
SAO JOSE DE ITABORAI;ITABORAI;1;
ALDEIA DA PRACA;ITABORAI;1;
VARGEA;ITABORAI;2;
CHIQUE;ITABORAI;1;
VARZEA;ITABORAI;2;
CURUSU;ITABORAI;2;
RIO VARZEA AMPLIACAO;ITABORAI;1;
SUSSEGO;ITABORAI;2;
JOAQUIM OLIVEIRA;ITABORAI;66;
CITY AREAL;ITABORAI;4;
PANTANAL;ITABORAI;1;
USINA;ITABORAI;3;
AGROBRASIL;ITABORAI;1;
PICOS;ITABORAI;4;
BADURECO;ITABORAI;4;
VISCONCE;ITABORAI;1;
JARDIM  IDALIA;ITABORAI;23;
CERAMICA;ITABORAI;1;
BOM RETIRO;ITABORAI;1;
SOSSEGO;ITABORAI;105;
VARANDINHA;ITABORAI;1;
SHANGRILA;ITABORAI;2;
AMPLIACAO;ITABORAI;250;
RIO VARSIA;ITABORAI;1;
PARQUE EGISA;ITABORAI;5;
AREIAL;ITABORAI;6;
RETAVELHA;ITABORAI;1;
ITAMPI;ITABORAI;1;
SANTO ANTONIO;ITABORAI;58;
QUISSAMA DOIS;ITABORAI;1;
PEDREIRA;ITABORAI;1;
CHANCLELAN;ITABORAI;2;
AMARAL;ITABORAI;31;
MONTE VERDE;ITABORAI;17;
ALTO DO JACU SAMBAETIBA;ITABORAI;1;
ALTO DO JACU SABAITIBA;ITABORAI;1;
JARDIM NOVA ALIANCA;ITABORAI;4;
APOLO XIII;ITABORAI;3;
MARANBAIA;ITABORAI;3;
OTERO;ITABORAI;1;
MUTUAPIRA;ITABORAI;1;
CALUNGUE;ITABORAI;1;
RETA NOVA;ITABORAI;45;
GRANDE RIO;ITABORAI;36;
AMPLIANCAO;ITABORAI;1;
CALUXE;ITABORAI;1;
JEIBARA;ITABORAI;1;
SUCEGO;ITABORAI;1;
ALAGOAS;ITABORAI;1;
SALEM;ITABORAI;3;
PARREIRO;ITABORAI;1;
BARREIROS;ITABORAI;1;
PENEDO;ITABORAI;9;
NACILANDIA;ITABORAI;1;
NOVA CIDADE;ITABORAI;220;
JARDIM FERMAM;ITABORAI;2;
CONJUNTO MARAMBAIA;ITABORAI;1;
VARGEM;IPUEIRAS;1;
IPU;IPUEIRAS;1;
VALE CARANGOLA;PETROPOLIS;11;
SERTAO DO CARANGOLA;PETROPOLIS;2;
QUISSAMA;PETROPOLIS;20;
ALTO DA BOA VISTA;PETROPOLIS;1;
AVIARIO;PETROPOLIS;1;
AMAZONAS;PETROPOLIS;1;
INDEPENDENCIA;PETROPOLIS;53;
QUARTEIRAO;PETROPOLIS;1;
BIGEN;PETROPOLIS;1;
ORTA;PETROPOLIS;1;
ROSEIRAL;PETROPOLIS;9;
ESPERANCA;PETROPOLIS;1;
MOSELA;PETROPOLIS;119;
PEDRO RIO;PETROPOLIS;25;
MADAME MACHADO;PETROPOLIS;8;
SECRETARIO;PETROPOLIS;2;
AREAL;PETROPOLIS;1;
CORREIOS;PETROPOLIS;1;
ITAIPAVA;PETROPOLIS;74;
SIMERIA;PETROPOLIS;13;
TAQUARA;PETROPOLIS;6;
PETROPOLIS;PETROPOLIS;1;
VALPARAISO;PETROPOLIS;24;
FAZENDA INGLESA;PETROPOLIS;11;
SANTA ROSA;PETROPOLIS;4;
QUITANDINHA;PETROPOLIS;172;
ESTRADA DA SAUDADE;PETROPOLIS;35;
POSSE;PETROPOLIS;28;
SUMIDORO;PETROPOLIS;1;
PEDRA BRANCA;PETROPOLIS;1;
MORIN;PETROPOLIS;14;
QUITANGUINHA;PETROPOLIS;1;
TOUSETE;PETROPOLIS;1;
DOUTOR TOUZET;PETROPOLIS;1;
BINGEN;PETROPOLIS;14;
CARANGOLA;PETROPOLIS;27;
CAXAMBU;PETROPOLIS;29;
QUARTEIRRAO BRASILEIRO;PETROPOLIS;56;
VILA RICA;PETROPOLIS;13;
SAMAMBAIA PONTE;PETROPOLIS;34;
NOVA CASCATINHA;PETROPOLIS;1;
CASCATINHA;PETROPOLIS;29;
BOMFIM;PETROPOLIS;1;
CORREIAS;PETROPOLIS;15;
QUINTANDINHA;PETROPOLIS;3;
DOUTORZET;PETROPOLIS;1;
PROVISORIA;PETROPOLIS;16;
ALPINO;PETROPOLIS;2;
BELA VISTA;PETROPOLIS;3;
SAUDADE;PETROPOLIS;1;
SANTANA DO ALEIXO;PETROPOLIS;1;
QUISAMA;PETROPOLIS;1;
GLORIA;PETROPOLIS;5;
DOUTOR THOUZET;PETROPOLIS;3;
DOUTOR THOUZEP;PETROPOLIS;1;
SARGENTO BOILINGUE;PETROPOLIS;1;
CHACARA FLORA;PETROPOLIS;16;
DUQUES;PETROPOLIS;8;
BREJAL;PETROPOLIS;1;
CASTRIOTO;PETROPOLIS;6;
IMPERIAL;PETROPOLIS;1;
CORREAS;PETROPOLIS;66;
ATILIO MAROTE;PETROPOLIS;1;
AGUAS LINDAS;PETROPOLIS;2;
AMOEDO;PETROPOLIS;1;
QUARTEIRAO BRASILEIRO;PETROPOLIS;110;
AUTO DA SERRA;PETROPOLIS;9;
PONTE FOMES;PETROPOLIS;1;
HORTA;PETROPOLIS;1;
NEILOR;PETROPOLIS;1;
CREMERI;PETROPOLIS;5;
INDEPEDENCIA;PETROPOLIS;1;
DUCHAS;PETROPOLIS;3;
INDAIA;PETROPOLIS;1;
CENTRO;PETROPOLIS;122;
MOINHO PRETO;PETROPOLIS;3;
DOUTOR TOUZETE;PETROPOLIS;2;
SAMANBAIA;PETROPOLIS;1;
CHACRINHA;PETROPOLIS;1;
LUSITANO;PETROPOLIS;1;
DUARTE DA SILVEIRA;PETROPOLIS;2;
ESPIRITO SANTO;PETROPOLIS;3;
VALE DO CUIABA;PETROPOLIS;1;
MOZELA;PETROPOLIS;7;
BATALHARDE;PETROPOLIS;8;
ARARAS;PETROPOLIS;38;
BONFIM CORREIAS;PETROPOLIS;8;
TIMERIA;PETROPOLIS;1;
BONSUCESSO;PETROPOLIS;8;
ITAMARATI;PETROPOLIS;15;
FRAGOSO;PETROPOLIS;1;
RETIRO;PETROPOLIS;45;
SAO SEBASTIAO;PETROPOLIS;50;
EDUARDO EUGENIO;PETROPOLIS;1;
ITAMARATY;PETROPOLIS;1;
ALTO INDEPENDENCIA;PETROPOLIS;10;
VARGEM;PETROPOLIS;1;
SANTA MONICA;PETROPOLIS;1;
SOARES PINTO;PETROPOLIS;1;
NOGUEIRA;PETROPOLIS;45;
LOTEAMENTO DA SAMAMBAIA;PETROPOLIS;2;
CUIABA;PETROPOLIS;9;
FLORESTA;PETROPOLIS;22;
VILA REAL;PETROPOLIS;2;
MALTA;PETROPOLIS;1;
SARGENTO BOENING;PETROPOLIS;2;
QUITAMA;PETROPOLIS;1;
CAPELA;PETROPOLIS;4;
DUARTE SILVEIRA;PETROPOLIS;38;
CACHAMBU;PETROPOLIS;3;
ALTO DA SERRA;PETROPOLIS;155;
FONTE SANTA;PETROPOLIS;1;
CENTENARIO;PETROPOLIS;1;
CASTELANEA;PETROPOLIS;10;
JARDIM DAS HORTENCIAS;SAO GABRIEL;1;
MATADOURO;LAMBARI;1;
VOLTA DO LAGO;LAMBARI;2;
CAJATI;JACUPIRANGA;1;
SESI;BAYEUX;1;
IPITANGAS;TANGUA;2;
POSSE;TANGUA;8;
BANDEIRANTES DOIS;TANGUA;18;
PEAO;TANGUA;2;
MANGUEIRINHA;TANGUA;3;
CIDADE SATELITE;TANGUA;4;
AMPLIACAO;TANGUA;47;
MUTUAPIRA;TANGUA;2;
RIACHAO;TANGUA;2;
POSSE DOS COITINHOS;TANGUA;1;
POSSE DOS COUTINHOS;TANGUA;1;
CHACARA DO PINHAO;TANGUA;1;
PIAO;TANGUA;16;
MINERIO;TANGUA;1;
VILA CORTES;TANGUA;44;
IPITANGA;TANGUA;1;
CENTRO;TANGUA;45;
VILA CORTE/AMPLIACAO;TANGUA;1;
VILA SAO LUIZ;TANGUA;1;
BARREIRA;TANGUA;1;
DUQUE;TANGUA;3;
TANGUA;TANGUA;3;
DUQUES;TANGUA;9;
PINHAO;TANGUA;16;
ARARAS;IPU;1;
PIRATINI;CURITIBA;1;
UBERABA;CURITIBA;1;
PAROLINS;CURITIBA;1;
CENTRO;CURITIBA;1;
PINHAES;CURITIBA;1;
CENTRO;COTIA;1;
PORTAO;COTIA;1;
SAO FRANCISCO;CATOLE DO ROCHA;1;
CENTRO;LARANJAL;1;
RODO;MENDES;1;
CHATUBA;MENDES;2;
LADEIRA DO SOCORRO;MENDES;1;
RETA DE MARTINS COSTA;MENDES;3;
CRUZEIRO;MENDES;1;
HUMBERTO ANTUNES;MENDES;4;
SANTA RITA;MENDES;8;
ESTACAO VELHA;MENDES;1;
TUPINAMBA;MENDES;1;
MENDES;MENDES;1;
VENTANIA;MENDES;3;
MARTINS COSTA;MENDES;1;
COQUEIROS;MENDES;1;
MORSING;MENDES;3;
CENTO;MENDES;4;
PENHA;MENDES;1;
MORSSE;MENDES;1;
BANCO DE AREIA;MENDES;2;
CENTRO;MENDES;23;
JARDIM;MENDES;1;
LADEIRA BELA VISTA;MENDES;1;
AGUA FRIA;MENDES;4;
INTINGA;LAURO DE FREITAS;1;
MARINGA;ITATIAIA;1;
FORMIGUEIRO;ITATIAIA;1;
VISCONDE DE MAUA;ITATIAIA;3;
VMAIA;ITATIAIA;20;
VILA MARTINS;ITATIAIA;12;
MAROMBA;ITATIAIA;3;
MERISA;ITATIAIA;2;
PARQUE NACIONAL;ITATIAIA;1;
CENTRO;ITATIAIA;18;
AFRICA DOIS;ITATIAIA;1;
VILA FLORIDA;ITATIAIA;3;
PENEDO;ITATIAIA;20;
ITATIAIA;ITATIAIA;1;
CAMPO ALEGRE;ITATIAIA;6;
NOVA CONQUISTA;ITATIAIA;2;
CAROLINA;ITATIAIA;1;
MARINAS;ANGRA DOS REIS;5;
RIBEIRA;ANGRA DOS REIS;2;
ILHA GRANDE;ANGRA DOS REIS;57;
JAPUIBA;ANGRA DOS REIS;63;
CAMPO BELO;ANGRA DOS REIS;18;
BICA DA CARIOCA;ANGRA DOS REIS;1;
JACUEGANGA;ANGRA DOS REIS;1;
CAETES;ANGRA DOS REIS;2;
ENCRUZO DA ENCEADA;ANGRA DOS REIS;1;
PRAIA ANIL;ANGRA DOS REIS;4;
JACUACANGA;ANGRA DOS REIS;8;
ENCRUSO DA ENSEADA;ANGRA DOS REIS;18;
AREAL;ANGRA DOS REIS;36;
CAERA;ANGRA DOS REIS;1;
ABRAAO;ANGRA DOS REIS;28;
TAPIATUBA;ANGRA DOS REIS;1;
BELEN;ANGRA DOS REIS;1;
BELEM;ANGRA DOS REIS;55;
JACUECANGA;ANGRA DOS REIS;45;
TAQUARI;ANGRA DOS REIS;1;
ITACURUCA;ANGRA DOS REIS;2;
CAMORIM GRANDE;ANGRA DOS REIS;36;
VERONE;ANGRA DOS REIS;1;
NJAPUIBA;ANGRA DOS REIS;1;
VILAJE;ANGRA DOS REIS;1;
JACUIBA;ANGRA DOS REIS;1;
INCRUSA DA ENSEADA;ANGRA DOS REIS;2;
CAPUTERA;ANGRA DOS REIS;4;
BANQUETA;ANGRA DOS REIS;2;
JAPECANGA;ANGRA DOS REIS;1;
PERES;ANGRA DOS REIS;7;
PARATI;ANGRA DOS REIS;2;
PARQUE MAMBUCABA;ANGRA DOS REIS;16;
JUPUIBA;ANGRA DOS REIS;1;
PORTOGALO;ANGRA DOS REIS;2;
PRAIA DA RIBEIRA;ANGRA DOS REIS;3;
PROMORAR;ANGRA DOS REIS;2;
SAPINHATUBA;ANGRA DOS REIS;4;
FRADE;ANGRA DOS REIS;19;
AGUA SANTA;ANGRA DOS REIS;1;
FRADI;ANGRA DOS REIS;1;
MONSSOABA;ANGRA DOS REIS;3;
MONSSUABA;ANGRA DOS REIS;1;
CANTAGALO;ANGRA DOS REIS;14;
CAMORIM PEQUENO;ANGRA DOS REIS;4;
GAMBOA;ANGRA DOS REIS;8;
TRINDADE;ANGRA DOS REIS;1;
MAMBUCABA;ANGRA DOS REIS;10;
CHAPINHATUBA TRES;ANGRA DOS REIS;1;
SERRA D'AGUA;ANGRA DOS REIS;9;
MORRO DO CARMO;ANGRA DOS REIS;4;
JACOACANGA;ANGRA DOS REIS;1;
CARIOCA;ANGRA DOS REIS;1;
NOVA ANGRA;ANGRA DOS REIS;9;
MANSOABA;ANGRA DOS REIS;2;
BONFIM;ANGRA DOS REIS;4;
BRAPUI;ANGRA DOS REIS;1;
JAQUACANGA;ANGRA DOS REIS;2;
MONSOABA;ANGRA DOS REIS;23;
MORRO DE SANTO ANTONIO DOIS;ANGRA DOS REIS;1;
RETIRO;ANGRA DOS REIS;8;
MONCUABA;ANGRA DOS REIS;2;
CENTRO;ANGRA DOS REIS;92;
PONTAL;ANGRA DOS REIS;2;
SERRA DAGUA;ANGRA DOS REIS;1;
GRINGA;ANGRA DOS REIS;1;
CAPUIBA;ANGRA DOS REIS;1;
SAPIATUBA;ANGRA DOS REIS;3;
GARATUCAIA;ANGRA DOS REIS;5;
BARACUI;ANGRA DOS REIS;1;
MORRO DO MORENO;ANGRA DOS REIS;1;
VILAGIO;ANGRA DOS REIS;3;
GUARIBA;ANGRA DOS REIS;1;
BRACUY;ANGRA DOS REIS;1;
GUARATUCAIA;ANGRA DOS REIS;1;
BRACUI;ANGRA DOS REIS;19;
VEROUME;ANGRA DOS REIS;2;
VEROLME;ANGRA DOS REIS;4;
PONTA LESTE;ANGRA DOS REIS;2;
MONCOABA;ANGRA DOS REIS;1;
SANTO ANTONIO;ANGRA DOS REIS;1;
ANCHIETA;ANGRA DOS REIS;1;
GAMBOA DO BELEM;ANGRA DOS REIS;1;
VILAGE;ANGRA DOS REIS;11;
AREIAL;ANGRA DOS REIS;1;
MORRO DO PEREZ;ANGRA DOS REIS;1;
VILA VELHA;ANGRA DOS REIS;3;
VEROME;ANGRA DOS REIS;2;
CONCEICAO DE JACAREI;ANGRA DOS REIS;2;
LAMBICADA;ANGRA DOS REIS;1;
BALNEARIO;ANGRA DOS REIS;7;
PEREQUE;ANGRA DOS REIS;40;
PALMITAL;ANGRA DOS REIS;3;
JACOECANGA;ANGRA DOS REIS;2;
MONSUABA;ANGRA DOS REIS;22;
ARIRO;ANGRA DOS REIS;1;
RECANTO;ANGRA DOS REIS;1;
BANQUETE;BOM JARDIM;3;
VARGINHA;BOM JARDIM;2;
CENTRO;BOM JARDIM;1;
CESARIO ALVIM;BOM JARDIM;1;
BABAQUARA;BOM JARDIM;1;
BALANCA;BOM JARDIM;1;
QUEIMADA;CAMPINA GRANDE;1;
MONTE SANTO;CAMPINA GRANDE;1;
PIRABEIRABA;JOINVILLE;1;
GLORIA;JOINVILLE;1;
PINDORAMA;PARNAIBA;1;
VILA SANTA TERESINHA;MESQUITA;464;
VILA NORMA;MESQUITA;110;
SANTO  ELIAS;MESQUITA;30;
PENHA;MESQUITA;1;
SANTA TEREZINHA;MESQUITA;135;
VILA ENIL;MESQUITA;5;
SANTA CLARA;MESQUITA;5;
BANCO DE AREIA;MESQUITA;300;
PEIXOTO;MESQUITA;1;
JUSCELINO KUBISTCHEK;MESQUITA;3;
EDSON PASSOS;MESQUITA;2127;
BNH;MESQUITA;1;
SANTA TERESINHA;MESQUITA;147;
JACUTINGA;MESQUITA;191;
JACUTINGO;MESQUITA;1;
AREIA BRANCA;MESQUITA;6;
PRESIDENTE JUSCELINO;MESQUITA;854;
MESQUITA;MESQUITA;37;
CHATBA;MESQUITA;1;
HELEMIL;MESQUITA;1;
SANTO ELIAS;MESQUITA;101;
FABRICA DE POLVORA;MESQUITA;1494;
SANTA BRANCA;MESQUITA;1;
CDOR SOARES;MESQUITA;2;
HATUBAC;MESQUITA;1;
COSTA SOBRINHO;MESQUITA;1;
CHATUBA;MESQUITA;2127;
BANCO DE  AREIA;MESQUITA;178;
JUSCELINO;MESQUITA;30;
COREIA;MESQUITA;241;
RIACHAO;MESQUITA;1;
MACEDO;MESQUITA;1;
POVORA;MESQUITA;2;
POLVORA;MESQUITA;17;
CABRAL;MESQUITA;3;
CAHTUBA;MESQUITA;1;
COSMORAMA;MESQUITA;26;
COREIRA;MESQUITA;1;
K-11;MESQUITA;2;
COREA;MESQUITA;11;
CENTRO;MESQUITA;1218;
INCONFIDENCIA;MESQUITA;1;
JACUNTINGA;MESQUITA;1;
CHATUBA DE MESQUITA;MESQUITA;2;
MESQUISTA;MESQUITA;1;
CONFIDENCIA;MESQUITA;1;
NOVA IGUACU;MESQUITA;2;
JUCELINO;MESQUITA;14;
CORREIA;MESQUITA;5;
VILA EMIL;MESQUITA;130;
PRESIDENTE JUCELINO;MESQUITA;6;
AUSTIN;MESQUITA;2;
FAZENDINHA;MESQUITA;1;
JACOTINGA;MESQUITA;2;
ROCHA SOBRINHO;MESQUITA;935;
PAIOL;MESQUITA;3;
ALTO URIGUAI;MESQUITA;1;
DELAMARES;MESQUITA;5;
PEDREIRA;MESQUITA;1;
TEREZINHA;MESQUITA;4;
FLORESTA;MESQUITA;7;
KOREIA;MESQUITA;1;
GRANDE RIO;MESQUITA;194;
ALTO URUGUAI;MESQUITA;8;
TERESINHA;MESQUITA;1;
CRUZEIRO DO SUL;MESQUITA;2;
BONSUCESSO;VOLTA GRANDE;1;
PARQUE ENGENHEIRO PEDREIRA;JAPERI;82;
PAZ;JAPERI;1;
CACHOEIRINHA;JAPERI;1;
SAO JOSE;JAPERI;1;
MANTIQUEIRA;JAPERI;1;
LAGOA SAPO;JAPERI;14;
SIAO;JAPERI;3;
SANTA TEREZINHA;JAPERI;4;
MARAJOARA;JAPERI;1;
VIRGEM DE FATIMA;JAPERI;3;
MARIA JOSE;JAPERI;6;
COSME DAMIAO;JAPERI;15;
PETROPOLIS;JAPERI;1;
VARZEA DAS MOCAS;JAPERI;426;
CIDADE JARDIM MARAJOARA;JAPERI;102;
JAPERI;JAPERI;87;
NOSSA SENHORA DE FATIMA;JAPERI;14;
ALECRIN;JAPERI;1;
ALECRIM;JAPERI;80;
CITROPOLIS;JAPERI;97;
ENGENHEIRO PEDREIRA;JAPERI;68;
VILA NOSSA SENHORA DA CONCEICAO;JAPERI;14;
GOVERNADOR PORTELA;JAPERI;1;
GROTA;JAPERI;1;
SAO LUIZ GONZAGA;JAPERI;1;
VILA CARMELITA;JAPERI;30;
BELO HORIZONTE;JAPERI;4;
SANTA BRANCA;JAPERI;4;
AUSTIN;JAPERI;13;
CACRINHA;JAPERI;2;
ALICRIM;JAPERI;1;
JACERUBA;JAPERI;5;
JACIRUBA;JAPERI;1;
REDENTOR;JAPERI;1;
CHACRINHAQ;JAPERI;106;
MUCAJA;JAPERI;16;
BEIRA RIO;JAPERI;12;
VILA PLANETARIA;JAPERI;11;
FRANCISCO RUSSO;JAPERI;1;
SAO JORGE;JAPERI;115;
DELAMARE;JAPERI;2;
COLINAS;JAPERI;4;
MUCASA;JAPERI;1;
DELAMARI;JAPERI;1;
ITANHANGA;JAPERI;1;
XACRINHA;JAPERI;3;
TEOFOLO CUNHA;JAPERI;7;
FERROVIARIO;JAPERI;7;
CENTRO;JAPERI;74;
SANTA AMELIA;JAPERI;10;
CANCELA;JAPERI;4;
CALIFORNIA;JAPERI;2;
BANANAL;JAPERI;1;
PRIMAVERA;JAPERI;1;
VILA LARANJAL;JAPERI;5;
SAO SEBASTIAO;JAPERI;8;
VITORIA;JAPERI;1;
PARQUE SANTO ANTONIO;JAPERI;66;
JARDIM SAO SEBASTIAO;JAPERI;21;
TRANSMONTANA;JAPERI;3;
CARMO;JAPERI;3;
ACUBE;JAPERI;3;
SANTA TERESINHA;JAPERI;50;
NOVA BELEM;JAPERI;316;
CIDADE SENHOR DO BONFIM;JAPERI;58;
RONCADOR;JAPERI;1;
PARQUE GUANDU;JAPERI;272;
GUANDU;JAPERI;41;
BOA VISTA;IGUABA GRANDE;13;
SAPEATIBA MIRIM;IGUABA GRANDE;3;
ANDORINHA;IGUABA GRANDE;1;
MARAMBAIA;IGUABA GRANDE;1;
ITAUNA;IGUABA GRANDE;1;
PEDREIRA;IGUABA GRANDE;3;
SAO MIGUEL;IGUABA GRANDE;4;
CAPIVARA;IGUABA GRANDE;3;
CANELA CITY;IGUABA GRANDE;20;
ESTACAO;IGUABA GRANDE;5;
CENTRO;IGUABA GRANDE;43;
CIDADE NOVA;IGUABA GRANDE;34;
CANELA CITI;IGUABA GRANDE;1;
ANDORINHAS;IGUABA GRANDE;1;
UNIAO;IGUABA GRANDE;1;
TAMARIS;IGUABA GRANDE;1;
IGUABINHA;IGUABA GRANDE;3;
SOTOTO;IGUABA GRANDE;2;
SAPOLANDIA;IGUABA GRANDE;1;
PARQUE TAMARIS;IGUABA GRANDE;2;
CASTELANEA;IGUABA GRANDE;2;
IGUABA PEQUENA;IGUABA GRANDE;7;
NOVA CIDADE;IGUABA GRANDE;22;
