bairro;mun;qt_den 
JACATIRAO;DUQUE DE CAXIAS;7;
PARADA MORABI DOIS;DUQUE DE CAXIAS;36;
JAQUEIRA;DUQUE DE CAXIAS;4;
PILARES;DUQUE DE CAXIAS;1;
CODORA;DUQUE DE CAXIAS;1;
VILA BELA VISTA;DUQUE DE CAXIAS;31;
SARACURUANA;DUQUE DE CAXIAS;1;
PARQUE CHUNO;DUQUE DE CAXIAS;541;
ENGENHO DO PORTO;DUQUE DE CAXIAS;202;
CHACRINHA;DUQUE DE CAXIAS;21;
BARBUDA;DUQUE DE CAXIAS;1;
CAXIAS;DUQUE DE CAXIAS;2;
MANTIQUEIRA;DUQUE DE CAXIAS;18;
CHACARAS ARCAMPO;DUQUE DE CAXIAS;238;
CANTO DO GILO;DUQUE DE CAXIAS;1;
LAUREANO;DUQUE DE CAXIAS;2;
LAGUNAS DOURADOS;DUQUE DE CAXIAS;5;
BANANAL;DUQUE DE CAXIAS;6;
AUSTIN;DUQUE DE CAXIAS;1;
RACHA;DUQUE DE CAXIAS;1;
CAVELEIROS;DUQUE DE CAXIAS;1;
CERAMICA;DUQUE DE CAXIAS;2;
DIVINEIA;DUQUE DE CAXIAS;1;
ANCHIETA;DUQUE DE CAXIAS;1;
CATUMBI;DUQUE DE CAXIAS;1;
SENHOR DO BONFIM;DUQUE DE CAXIAS;6;
MORAMBI;DUQUE DE CAXIAS;2;
FIGUEIRAS;DUQUE DE CAXIAS;108;
JOAO PESSOA;DUQUE DE CAXIAS;8;
FRANGO DOURADO;DUQUE DE CAXIAS;4;
COVANCA;DUQUE DE CAXIAS;2;
CAVALEIROS;DUQUE DE CAXIAS;3;
CARRETEIRO;DUQUE DE CAXIAS;1;
TREVO DA MISSOES;DUQUE DE CAXIAS;150;
PILAR;DUQUE DE CAXIAS;253;
QUISSAMA;DUQUE DE CAXIAS;1;
PIEDADE;DUQUE DE CAXIAS;7;
BEIRA MAR;DUQUE DE CAXIAS;32;
COMPLEXO MANGUEIRINHA;DUQUE DE CAXIAS;2;
CAMPOS ELIZIOS;DUQUE DE CAXIAS;3;
ILHA;DUQUE DE CAXIAS;1;
VALE DO IPE;DUQUE DE CAXIAS;1;
SANTUARIO;DUQUE DE CAXIAS;2;
VILA SAO JUDAS TADEU;DUQUE DE CAXIAS;525;
PARQUE BEIRA MAR;DUQUE DE CAXIAS;274;
PARQUE FLUMINENSE;DUQUE DE CAXIAS;167;
XEREN;DUQUE DE CAXIAS;2;
XEREM;DUQUE DE CAXIAS;326;
LAGOINHA;DUQUE DE CAXIAS;1;
NOVA CAMPINHA;DUQUE DE CAXIAS;4;
