C. BARROS;RIO DE JANEIRO;2;COSTA BARROS
C BARRO;RIO DE JANEIRO;1;COSTA BARROS
C SUL;NOVA IGUACU;22;CRUZEIRO DO SUL
DE LA MARES;RIO DE JANEIRO;1;DE LA MARES
D CASTILHO;RIO DE JANEIRO;1376;DEL CASTILHO
D CASTILHO;RIO DE JANEIRO;82;DEL CASTILHO
CHS DEL CASTILHO;RIO DE JANEIRO;3;DEL CASTILHO
D DELCASTILHO;RIO DE JANEIRO;1;DEL CASTILHO
D CATILHO;RIO DE JANEIRO;1;DEL CASTILHO
D IRMAOS;BELFORD ROXO;237;DOIS IRMAOS
D BOSCO;SEROPEDICA;88;DOM BOSCO
D NELI;NOVA IGUACU;44;DONA NELI
D LAUREANO;DUQUE DE CAXIAS;91;DOUTOR LAUREANO
D SILVEIRA;PETROPOLIS;38;DUARTE SILVEIRA
E PASSOS;MESQUITA;2500;EDSON PASSOS
VLROSALI;SAO JOAO DE MERITI;722;VILA ROSALI
E BELFORD;SAO JOAO DE MERITI;1062;ENGENHEIRO BELFORD
E LEAL;RIO DE JANEIRO;317;ENGENHEIRO LEAL
VAR MOCAS;NITEROI;427;ENGENHEIRO PEDREIRA
ENG PEDREIRA;JAPERI;47;ENGENHEIRO PEDREIRA
E R FREIRE;NOVA IGUACU;22;ENGENHEIRO ROCHA FREIRE
E RAINHA;RIO DE JANEIRO;2005;ENGENHO DA RAINHA
ENG RAINHA;RIO DE JANEIRO;5;ENGENHO DA RAINHA
E DA RAINHA;RIO DE JANEIRO;3;ENGENHO DA RAINHA
ENG DA RAINHA;RIO DE JANEIRO;2;ENGENHO DA RAINHA
E RAINHA, DA;RIO DE JANEIRO;2;ENGENHO DA RAINHA
E DENTRO;RIO DE JANEIRO;2819;ENGENHO DE DENTRO
ENG DENTRO;RIO DE JANEIRO;3;ENGENHO DE DENTRO
ENG DE DENTRO;RIO DE JANEIRO;2;ENGENHO DE DENTRO
E MATO;NITEROI;112;ENGENHO DO MATO
E PORTO;DUQUE DE CAXIAS;201;ENGENHO DO PORTO
E NOVO;RIO DE JANEIRO;4080;ENGENHO NOVO
ENG NOVO;RIO DE JANEIRO;9;ENGENHO NOVO
E PEQUENO;SAO GONCALO;367;ENGENHO PEQUENO
E ROCADO;SAO GONCALO;36;ENGENHO ROCADO
E VELHO;ITABORAI;35;ENGENHO VELHO
EST SAUDADE;PETROPOLIS;35;ESTRADA DA SAUDADE
E CEU;ITAGUAI;29;ESTRELA DO CEU
E NORTE;SAO GONCALO;89;ESTRELA DO NORTE
F POLVORA;NOVA IGUACU;1601;FABRICA DE POLVORA
F POLVORA;MESQUITA;1494;FABRICA DE POLVORA
F BOTAFOGO;RIO DE JANEIRO;6;FAZENDA BOTAFOGO
F FABIANO;BELFORD ROXO;82;FREI FABIANO
G NAPOLEAO;RIO DE JANEIRO;1;G NAPOLEAO?
G BRANCO;SAO GONCALO;1261;GALO BRANCO
G AZUL;RIO DE JANEIRO;825;GARDENIA AZUL
G RIO;MESQUITA;311;GRANDE RIO
GJA ROSALINA;QUEIMADOS;33;GRANJA ROSALINA
G PARA;NOVA IGUACU;49;GRAO PARA
IA GUARATIBA;RIO DE JANEIRO;6;GUARATIBA
H GURGEL;RIO DE JANEIRO;1762;HONORIO GURGEL
O GURGEL;RIO DE JANEIRO;4;HONORIO GURGEL
H GRUGEL;RIO DE JANEIRO;1;HONORIO GURGEL
IA CONCEICAO;NITEROI;382;ILHA DA CONCEICAO
I CONCEICAO;NITEROI;24;ILHA DA CONCEICAO
IA GIGOIA;RIO DE JANEIRO;1;ILHA DA GIGOIA
IA MADEIRA;ITAGUAI;21;ILHA DA MADEIRA
I GUARATIBA;RIO DE JANEIRO;3;ILHA DE GUARATIBA
I GOVERNADOR;RIO DE JANEIRO;45;ILHA DO GOVERNADOR
IA GOVERNADOR;RIO DE JANEIRO;5;ILHA DO GOVERNADOR
IHA DO GOVERNADOR;RIO DE JANEIRO;2;ILHA DO GOVERNADOR
